X_0,pClass,Sex,Age,Sibsp,Fare,Embarked,relatives,Deck,Title,Age-class,Fare perperson,Title^2,hypotheseis,prediction,actual
1,3,1,3,1,2,0,1,8,3,9,1,9,0.7510113125,1,1
1,3,0,5,0,1,2,0,8,1,15,1,1,0.1230615957,0,0
1,3,1,3,0,0,0,0,8,2,9,0,4,0.4777749597,0,0
1,1,1,6,0,2,1,0,2,3,6,2,9,0.7958346738,1,1
1,3,0,6,0,0,0,0,8,1,18,0,1,0.1005064618,0,0
1,3,0,3,0,3,0,0,8,1,9,3,1,0.1176467183,0,1
1,3,1,5,1,2,0,6,8,3,15,0,9,0.7205701737,1,1
1,3,0,5,1,2,0,2,8,1,15,0,1,0.0994721038,0,0
1,3,1,6,0,1,1,1,8,3,18,0,9,0.7477253296,1,0
1,3,0,2,0,1,0,0,8,1,6,1,1,0.1041272158,0,0
1,2,0,6,0,1,0,0,8,1,12,1,1,0.1257894091,0,0
1,3,1,6,1,3,0,4,8,3,18,0,9,0.7296948968,1,0
1,3,0,4,0,0,0,0,8,1,12,0,1,0.1014085316,0,0
1,2,0,6,0,1,0,0,8,1,12,1,1,0.1257894091,0,1
1,3,1,3,0,0,0,0,8,2,9,0,4,0.4777749597,0,1
1,3,0,1,0,0,0,0,8,1,3,0,1,0.0928693893,0,0
1,1,0,4,0,3,0,0,8,1,4,3,1,0.1910900236,0,0
1,3,1,0,3,2,0,5,8,2,0,0,4,0.386022976,0,0
1,2,1,5,0,1,0,0,8,2,10,1,4,0.6448510678,1,0
1,2,0,4,1,2,1,1,8,1,8,1,1,0.1364325375,0,0
1,1,1,1,0,3,0,0,2,2,1,3,4,0.769343625,1,1
1,2,0,5,0,0,0,0,8,1,10,0,1,0.1197524592,0,0
1,2,0,1,0,1,0,0,8,1,2,1,1,0.1146139347,0,0
1,2,1,1,1,2,1,1,8,3,2,1,9,0.7327955894,1,1
1,3,1,4,1,2,2,2,8,3,12,0,9,0.7524678443,1,0
1,1,1,4,0,3,1,0,4,2,4,3,4,0.785792337,1,1
1,2,1,6,0,1,0,0,8,3,12,1,9,0.7759860031,1,1
1,1,0,6,0,2,0,0,5,1,6,2,1,0.3276147449,0,0
1,1,0,6,0,3,0,0,0,1,6,3,1,0.5067360608,1,0
